paper_id,pmid,doi,title,abstract,publication_types,year,journal,authors,source_query,retrieval_batch,record_path
pmid-38608796,38608796,10.1016/j.gene.2024.148458,The potential up-regulation risk of 3' UTR SNP (rs10787760 G > A) for the VAX1 gene is associated with NSCLP in the northwest Chinese population.,"AIMS: To investigate the association between single nucleotide polymorphisms (SNPs) in 3'UTR region of VAX1, SYT14 and PAX7 genes and the risk of non-syndromic cleft palate (NSCLP) in a northwest Chinese population.

MAIN METHODS: A case-control study was conducted in 406 normal controls and 399 NSCLP patients. Using iMLDRTM genotyping technology, eight SNPs of three genes ((rs10787760, rs7086344 at VAX1), (rs1010113, rs851114, and rs485874 at PAX7), and (rs61820397, rs4609425, rs12133399 at SYT14)) were genotyped to investigate the differences in alleles and genotype distribution frequencies between NSCLP patients and healthy controls. RNA Folding Form software was used to predict RNA secondary structure and expression vectors were constructed to explore the function of the relevant SNP. The effect of SNP polymorphism of gene transcription and translation was assessed using qPCR and Western blot analysis.

KEY FINDINGS: Among the eight SNPs of three genes, rs10787760 of VAX1 gene was found to be associated with an increased risk of NSCLP (OR = 1.341, CI = 1.004-1.790) and the GA genotype of rs10787760 increased the risk of cleft lip and/or palate (CL/P) about 1.42 times (p < 0.05), and carrying the A allele might increase the risk of NSCL/P in male (OR = 1.356, 95 % CI = 1.010-1.823). But there was no association observed with cleft palate only (CPO). Cell function experiments revealed that the G to A mutation in rs10787760 up-regulated GFP-VAX1 transcriptional level by 2.39 and 3.13 times in two cell lines respectively, and enhance the protein expression of the VAX1 gene further. RNA secondary structure study showed that the rs10787760 (G > A) had two different secondary structures in 3'UTR region.

SIGNIFICANCE: The rs10787760 variant in the 3'UTR region of VAX1 gene is associated with CL/P in northwest Chinese population. We hypothesize that the machanism of it might be caused by the RNA differenct fold in the 3'UTR region caused by the polymorphism of the gene.

LEVEL OF EVIDENCE: Original Reports.",Journal Article,2024,Gene,Feng H;Wei B;Xie X;Li P;Shen X,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (fold*[Title/Abstract] OR chaperon*[Title/Abstract] OR conformational[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR protein[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38608796.json
pmid-38581035,38581035,10.1186/s40164-024-00503-9,TRIB3 silencing promotes the downregulation of Akt pathway and PAX3-FOXO1 in high-risk rhabdomyosarcoma.,"Rhabdomyosarcoma (RMS), such as other childhood tumors, has witnessed treatment advancements in recent years. However, high-risk patients continue to face poor survival rates, often attributed to the presence of the PAX3/7-FOXO1 fusion proteins, which has been associated with metastasis and treatment resistance. Despite efforts to directly target these chimeric proteins, clinical success remains elusive. In this study, the main aim was to address this challenge by investigating regulators of FOXO1. Specifically, we focused on TRIB3, a potential regulator of the fusion protein in RMS. Our findings revealed a prominent TRIB3 expression in RMS tumors, highlighting its correlation with the presence of fusion protein. By conducting TRIB3 genetic inhibition experiments, we observed an impairment on cell proliferation. Notably, the knockdown of TRIB3 led to a decrease in PAX3-FOXO1 and its target genes at protein level, accompanied by a reduction in the activity of the Akt signaling pathway. Additionally, inducible silencing of TRIB3 significantly delayed tumor growth and improved overall survival in vivo. Based on our analysis, we propose that TRIB3 holds therapeutic potential for treating the most aggressive subtype of RMS. The findings herein reported contribute to our understanding of the underlying molecular mechanisms driving RMS progression and provide novel insights into the potential use of TRIB3 as a therapeutic intervention for high-risk RMS patients.",Letter,2024,Experimental hematology & oncology,Gallo-Oller G;Pons G;Sansa-Girona J;Navarro N;Zarzosa P;García-Gilabert L;Cabré-Fernandez P;Guillén Burrieza G;Valero-Arrese L;Segura MF;Lizcano JM;Sánchez de Toledo J;Moreno L;Gallego S;Roma J,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38581035.json
pmid-38526790,38526790,10.1007/978-1-0716-3738-8_12,CRISPR-Cas9-Mediated Bioluminescent Tagging of Endogenous Proteins by Fluorescent Protein-Assisted Cell Sorting.,"Oncogenic fusion genes are attractive therapeutic targets because of their tumor-specific expression and central ""driver"" roles in various human cancers. However, oncogenic fusions involving transcription factors such as PAX3-FOXO1 in alveolar fusion gene-positive rhabdomyosarcoma (FP-RMS) have been difficult to inhibit due to the apparent lack of tractable drug-like binding sites comparable to that recognized by Gleevec (imatinib mesylate) on the BCR-ABL1 tyrosine kinase fusion protein. Toward the identification of novel small molecules that selectively target PAX3-FOXO1, we used CRISPR-Cas9-mediated knock-in to append the pro-luminescent HiBiT tag onto the carboxy terminus of the endogenous PAX3-FOXO1 fusion protein in two human FP-RMS cell lines (RH4 and SCMC). HiBiT is an 11-amino acid peptide derived from the NanoLuc luciferase that produces a luminescence signal which is ~100-fold brighter than firefly or Renilla luciferases through high-affinity binding to a complementary NanoLuc peptide fragment called LgBiT. To facilitate single-cell clonal isolation of knock-ins, the homology-directed repair template encoding HiBiT was followed by a P2A self-cleaving peptide for coexpression of an mCherry fluorescent protein as a fluorescence-activated cell sorter (FACS)-selectable marker. HiBiT tagging thus allows highly sensitive luminescence detection of endogenous PAX3-FOXO1 levels permitting quantitative high-throughput screening of large compound libraries for the discovery of PAX3-FOXO1 inhibitors and degraders.","Journal Article;Research Support, N.I.H., Extramural",2024,"Methods in molecular biology (Clifton, N.J.)",Hawley RG;Hawley TS,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (fold*[Title/Abstract] OR chaperon*[Title/Abstract] OR conformational[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR protein[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38526790.json
pmid-38378693,38378693,10.1038/s41536-024-00351-5,Skeletal muscle regeneration after extensive cryoinjury of caudal myomeres in adult zebrafish.,"Skeletal muscles can regenerate after minor injuries, but severe structural damage often leads to fibrosis in mammals. Whether adult zebrafish possess the capacity to reproduce profoundly destroyed musculature remains unknown. Here, a new cryoinjury model revealed that several myomeres efficiently regenerated within one month after wounding the zebrafish caudal peduncle. Wound clearance involved accumulation of the selective autophagy receptor p62, an immune response and Collagen XII deposition. New muscle formation was associated with proliferation of Pax7 expressing muscle stem cells, which gave rise to MyoD1 positive myogenic precursors, followed by myofiber differentiation. Monitoring of slow and fast muscles revealed their coordinated replacement in the superficial and profound compartments of the myomere. However, the final boundary between the muscular components was imperfectly recapitulated, allowing myofibers of different identities to intermingle. The replacement of connective with sarcomeric tissues required TOR signaling, as rapamycin treatment impaired new muscle formation, leading to persistent fibrosis. The model of zebrafish myomere restoration may provide new medical perspectives for treatment of traumatic injuries.",Journal Article,2024,NPJ Regenerative medicine,Oudhoff H;Hisler V;Baumgartner F;Rees L;Grepper D;Jaźwińska A,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR proteasom*[Title/Abstract] OR autophag*[Title/Abstract] OR lysosom*[Title/Abstract] OR sumoylat*[Title/Abstract] OR desumoylat*[Title/Abstract] OR phosphor*[Title/Abstract] OR acetylat*[Title/Abstract] OR methylat*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38378693.json
pmid-38352163,38352163,10.1016/j.crtox.2024.100154,Perfluorooctanesulfonic acid (PFOS) disrupts cadherin-16 in the developing rat thyroid gland.,"Perfluorooctanesulfonic acid (PFOS) can disrupt the thyroid hormone (TH) system in rodents, potentially affecting perinatal growth and neurodevelopment. Some studies also suggest that gestational exposure to PFOS can lead to lower TH levels throughout life, indicating that PFOS may compromise thyroid gland development. To address this question, we utilized a rat thyroid gland ex vivo culture system to study direct effects of PFOS on the developing thyroid. No significant changes to follicular structure or size were observed with 1 µM or 10 µM PFOS exposure. However, the transcription factor Foxe1, together with Tpo and Lrp2, were upregulated, whereas the key transcription factor Pax8 and its downstream target gene Cdh16 were significantly downregulated at the transcript level, observed with both RT-qPCR and RNAscope. Notably, Cdh16 expression was not uniformly downregulated across Cdh16-postive cells, but instead displayed a patchy expression pattern across the thyroid gland. This is a significant change in expression pattern compared to control thyroids where Cdh16 is expressed relatively uniformly. The disrupted expression pattern was also seen at the protein level. This suggests that PFOS exposure can impact follicular growth and structure. Compromised follicle integrity, if irreversible, could help explain reduced TH synthesis postnatally. This view is supported by observed changes to Tpo and Lrp2 expression, two factors that play a role in TH synthesis.",Journal Article,2024,Current research in toxicology,Davidsen N;Ramhøj L;Ballegaard AR;Rosenmai AK;Henriksen CS;Svingen T,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38352163.json
pmid-38206489,38206489,10.1007/s10974-023-09663-3,Post-transcriptional regulation of myogenic transcription factors during muscle development and pathogenesis.,"The transcriptional regulation of skeletal muscle (SKM) development (myogenesis) has been documented for over 3 decades and served as a paradigm for tissue-specific cell type determination and differentiation. Myogenic stem cells (MuSC) in embryos and adult SKM are regulated by the transcription factors Pax3 and Pax7 for their stem cell characteristics, while their lineage determination and terminal differentiation are both dictated by the myogenic regulatory factors (MRF) that comprise Mrf4, Myf5, Myogenin, and MyoD. The myocyte enhancer factor Mef2c is activated by MRF during terminal differentiation and collaborates with them to promote myoblast fusion and differentiation. Recent studies have found critical regulation of these myogenic transcription factors at mRNA level, including subcellular localization, stability, and translational regulation. Therefore, the regulation of Pax3/7, MRFs and Mef2c mRNAs by RNA-binding factors and non-coding RNAs (ncRNA), including microRNAs and long non-coding RNAs (lncRNA), will be the focus of this review and the impact of this regulation on myogenesis will be further addressed. Interestingly, the stem cell characteristics of MuSC has been found to be critically regulated by ncRNAs, implying the involvement of ncRNAs in SKM homeostasis and regeneration. Current studies have further identified that some ncRNAs are implicated in the etiology of some SKM diseases and can serve as valuable tools/indicators for prediction of prognosis. The roles of ncRNAs in the MuSC biology and SKM disease etiology will also be discussed in this review.","Journal Article;Review;Research Support, Non-U.S. Gov't",2024,Journal of muscle research and cell motility,Chen SL;Wu CC;Li N;Weng TH,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (interact*[Title/Abstract] OR bind*[Title/Abstract] OR cofactor*[Title/Abstract] OR partner*[Title/Abstract] OR complex*[Title/Abstract] OR remodel*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38206489.json
pmid-38197297,38197297,10.1096/fj.202301291RR,Nuclear-localized androgen receptor content following resistance exercise training is associated with hypertrophy in males but not females.,"Androgen receptor (AR) content has been implicated in the differential response between high and low responders following resistance exercise training (RET). However, the influence of AR expression on acute skeletal muscle damage and whether it may influence the adaptive response to RET in females is poorly understood. Thus, the purpose of this exploratory examination was to 1) investigate changes in AR content during skeletal muscle repair and 2) characterize AR-mediated sex-based differences following RET. A skeletal muscle biopsy from the vastus lateralis was obtained from 26 healthy young men (n = 13) and women (n = 13) at baseline and following 300 eccentric kicks. Subsequently, participants performed 10 weeks of full-body RET and a final muscle biopsy was collected. In the untrained state, AR mRNA expression was associated with paired box protein-7 (PAX7) mRNA in males. For the first time in human skeletal muscle, we quantified AR content in the myofiber and localized to the nucleus where AR has been shown to trigger cellular outcomes related to growth. Upon eccentric damage, nuclear-associated AR (nAR) content increased (p < .05) in males and not females. Males with the greatest increase in cross-sectional area (CSA) post-RET had more (p < .05) nAR content than females with the greatest gain CSA. Collectively, skeletal muscle damage and RET increased AR protein, and both gene and hypertrophy measures revealed sex differences in relation to AR. These findings suggest that AR content but more importantly, nuclear localization, is a factor that differentiates RET-induced hypertrophy between males and females.","Journal Article;Research Support, Non-U.S. Gov't",2024,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Hatt AA;Kamal M;Mikhail AI;Fortino SA;Wageh M;Kumbhare D;Parise G,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR ""nuclear import""[Title/Abstract] OR ""nuclear export""[Title/Abstract] OR localization[Title/Abstract] OR trafficking[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38197297.json
pmid-38149527,38149527,10.1002/adbi.202300573,Increased Expression of MiRNA-1 Contributes to Hypobaric Hypoxia-Induced Skeletal Muscle Loss.,"The present study aims to analyze the role of microRNA-1 in the regulation of skeletal muscle loss under hypobaric hypoxia (HH). Male Sprague Dawley rats (n = 10) weighing 230-250 g are divided into two groups, control and HH exposure for 7 days at 25 000 ft. After the hypoxia exposure, the animals are sacrificed and hindlimb skeletal muscles are excised for further analysis. Studies found the potential role of miR-1 (myomiR) as a biomarker under different atrophic conditions. Prolonged exposure to HH leads to enhanced expression of miR-1 in skeletal muscle as compared to unexposed controls. The Bioinformatics approach is used to identify the validated targets and the biological processes of miR-1. The target prediction tools identify PAX3 and HSP70 as major targets for miR-1. Exposure to HH significantly reduces PAX3 and HSP70 expression during 7 days of HH exposure, which further enhances the activity of FOXO3, MSTN, and ATROGIN known for the progression of skeletal muscle atrophy in relation to control rats. This study indicates the increased expressions of miR-1 and reduced expression of PAX3 and HSP70 lead to impaired myogenesis in skeletal muscle under HH. Further, enhanced expression of muscle degradation genes such as FOXO3, MSTN, and ATROGIN under HH exposure causes skeletal muscle protein loss.","Journal Article;Research Support, Non-U.S. Gov't",2024,Advanced biology,Srivastava S;Mondal S;Rathor R;Srivastava S;Suryakumar G,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""PAX family""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR turnover[Title/Abstract] OR ""protein level""[Title/Abstract] OR ""steady-state""[Title/Abstract] OR ""half-life""[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38149527.json
pmid-37840481,37840481,10.3233/BMR-220440,Asymmetric expression of PIEZO2 in paraspinal muscles of adolescent idiopathic scoliosis.,"BACKGROUND: Muscle imbalance has long been recognized as one of the possible pathogeneses for adolescent idiopathic scoliosis (AIS). PIEZO2, the susceptibility gene of AIS, has been identified to play an important role in neuromuscular activities.

OBJECTIVE: This study aims to compare the mRNA expression of PIEZO2 between concave and convex paraspinal muscles of AIS patients and to identify the relationship between the ratio of PIEZO2 expression and curve magnitude.

METHODS: Twenty female AIS patients (right thoracic curve) who underwent spinal correction surgery were divided into moderate (n= 12) and severe (⩾ 70 degrees) curve groups (n= 8). The morphology of the paraspinal muscles was assessed with spinal MRI. Multifidus specimens were collected during surgical operations from the concave and convex sides of the apical region, and mRNA expression of the PIEZO2 gene was compared between sides. The localization of PIEZO2 protein expression was confirmed with the markers PAX7 and PAX3, and the percentage of PIEZO2+ cells was also investigated.

RESULTS: In the moderate curve group, fatty infiltration in the deep paraspinal muscle was significantly higher on the concave side than on the convex side. There were no differences in deep muscle area, superficial muscle area, or fatty infiltration of superficial paraspinal muscle. The mRNA expression of PIEZO2 was significantly increased on the concave side, and the asymmetric expression predominantly occurred in moderate curves rather than severe ones. PIEZO2 was expressed on satellite cells instead of fibers of the muscle spindle. The percent of PIEZO2+PAX7+ cells in myofibers was significantly higher on the concave side in the moderate curve group, but not in the severe curve group.

CONCLUSIONS: Asymmetric morphological changes occur in the deep paraspinal muscles of AIS. The PIEZO2 is asymmetrically expressed in the multifidus muscle and is preferentially expressed in satellite cells.",Journal Article,2024,Journal of back and musculoskeletal rehabilitation,You X;Wu D;Chen A;Zhou X;Fan H;Jiang Y,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (""nuclear localization""[Title/Abstract] OR ""nuclear retention""[Title/Abstract] OR ""nuclear accumulation""[Title/Abstract] OR ""nuclear import""[Title/Abstract] OR ""nuclear export""[Title/Abstract] OR localization[Title/Abstract] OR trafficking[Title/Abstract]) AND (protein[Title/Abstract] OR transcription factor[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-37840481.json
pmid-38158677,38158677,10.14715/cmb/2023.69.13.20,The neuronal nitric oxide synthase expression increases during satellite cell-derived primary myoblasts differentiation.,"The neuronal nitric oxide synthase (nNOS; encoded by NOS1)-derived nitric oxide (NO) plays an important role in maintaining skeletal muscle mass. In adult skeletal muscle, nNOS localizes to the cell membrane, cytosol, and nucleus, and regulates muscle hypertrophy and atrophy in various subcellular fractions. However, its role in muscle stem cells (also known as muscle satellite cells), which provide myonuclei for postnatal muscle growth, maintenance, and regeneration, remains unclear. The present study aimed to determine nNOS expression in muscle satellite cell-derived primary myoblasts during differentiation and its DNA methylation levels, an epigenetic modification that controls gene expression. Undifferentiated and differentiated satellite cell-derived primary myoblasts were found to express nNOS. Immunohistochemical analysis revealed that nNOS colocalized with Pax7 (satellite cell marker) only in the undifferentiated myoblasts. Furthermore, nNOS immunoreactivity spread to the cytosol of Pax7-negative differentiated myotube-like cells. The level of Nos1µ mRNA, the main isoform of skeletal muscle nNOS, was increased in differentiated satellite cell-derived primary myoblasts compared to that in the undifferentiated cells. However, Nos1 methylation levels remained unchanged during differentiation. These findings suggest that nNOS induction and the appropriate transition of its subcellular localization may contribute to muscle differentiation.",Journal Article,2023,"Cellular and molecular biology (Noisy-le-Grand, France)",Kusano M;Sakai K;Tomiga Y;Ito A;Nakashima S;Uehara Y;Kawanaka K;Kitajima Y;Higaki Y,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract] OR ""paired box""[Title/Abstract]) AND (ubiquitin*[Title/Abstract] OR deubiquitin*[Title/Abstract] OR proteasom*[Title/Abstract] OR autophag*[Title/Abstract] OR lysosom*[Title/Abstract] OR sumoylat*[Title/Abstract] OR desumoylat*[Title/Abstract] OR phosphor*[Title/Abstract] OR acetylat*[Title/Abstract] OR methylat*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-38158677.json
pmid-37923703,37923703,10.1002/jcsm.13348,TAZ stimulates exercise-induced muscle satellite cell activation via Pard3-p38 MAPK-TAZ signalling axis.,"BACKGROUND: Exercise stimulates the activation of muscle satellite cells, which facilitate the maintenance of stem cells and their myogenic conversion during muscle regeneration. However, the underlying mechanism is not yet fully understood. This study shows that the transcriptional co-activator with PDZ-binding motif (TAZ) stimulates muscle regeneration via satellite cell activation.

METHODS: Tazf/f mice were crossed with the paired box gene 7 (Pax7)creERT2 mice to generate muscle satellite cell-specific TAZ knockout (sKO) mice. Mice were trained in an endurance exercise programme for 4 weeks. Regenerated muscles were harvested and analysed by haematoxylin and eosin staining. Muscle tissues were also analysed by immunofluorescence staining, immunoblot analysis and quantitative reverse transcription PCR (qRT-PCR). For the in vitro study, muscle satellite cells from wild-type and sKO mice were isolated and analysed. Mitochondrial DNA was quantified by qRT-PCR using primers that amplify the cyclooxygenase-2 region of mitochondrial DNA. Quiescent and activated satellite cells were stained with MitoTracker Red CMXRos to analyse mitochondria. To study the p38 mitogen-activated protein kinase (MAPK)-TAZ signalling axis, p38 MAPK was activated by introducing the MAPK kinase 6 plasmid into satellite cells and also inhibited by treatment with the p38 MAPK inhibitor, SB203580.

RESULTS: TAZ interacts with Pax7 to induce Myf5 expression and stimulates mammalian target of rapamycin signalling for satellite cell activation. In sKO mice, TAZ depletion reduces muscle satellite cell number by 38% (0.29 ± 0.073 vs. 0.18 ± 0.034, P = 0.0082) and muscle regeneration. After muscle injury, TAZ levels (2.59-fold, P < 0.0001) increase in committed cells compared to self-renewing cells during asymmetric satellite cell division. Mechanistically, the polarity protein Pard3 induces TAZ (2.01-fold, P = 0.008) through p38 MAPK, demonstrating that the p38 MAPK-TAZ axis is important for muscle regeneration. Physiologically, endurance exercise training induces muscle satellite cell activation and increases muscle fibre diameter (1.33-fold, 43.21 ± 23.59 vs. 57.68 ± 23.26 μm, P = 0.0004) with increased TAZ levels (1.76-fold, P = 0.017). However, sKO mice had a 39% reduction in muscle satellite cell number (0.20 ± 0.03 vs. 0.12 ± 0.02, P = 0.0013) and 24% reduction in muscle fibre diameter compared to wild-type mice (61.07 ± 23.33 vs. 46.60 ± 24.29 μm, P = 0.0006).

CONCLUSIONS: Our results demonstrate a novel mechanism of TAZ-induced satellite cell activation after muscle injury and exercise, suggesting that activation of TAZ in satellite cells may ameliorate the muscle ageing phenotype and may be an important target protein for the drug development in sarcopenia.","Journal Article;Research Support, Non-U.S. Gov't",2023,"Journal of cachexia, sarcopenia and muscle",Kim KM;Yoo GD;Heo W;Oh HT;Park J;Shin S;Do Y;Jeong MG;Hwang ES;Hong JH,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (fold*[Title/Abstract] OR chaperon*[Title/Abstract] OR conformational[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR protein[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-37923703.json
pmid-37688555,37688555,10.1093/jas/skad303,Heat shock protein 27 regulates myogenic and self-renewal potential of bovine satellite cells under heat stress.,"While satellite cells play a key role in the hypertrophy, repair, and regeneration of skeletal muscles, their response to heat exposure remains poorly understood, particularly in beef cattle. This study aimed to investigate the changes in the transcriptome, proteome, and proliferation capability of bovine satellite cells in response to different levels of heat stress (HS) and exposure times. Satellite cells were isolated from 3-mo-old Holstein bulls (body weight: 77.10 ± 2.02 kg) and subjected to incubation under various temperature conditions: 1) control (38 °C; CON), 2) moderate (39.5 °C; MHS), and extreme (41 °C; EHS) for different durations ranging from 0 to 48 h. Following 3 h of exposure to extreme heat (EHS), satellite cells exhibited significantly increased gene expression and protein abundance of heat shock proteins (HSPs; HSP70, HSP90, HSP20) and paired box gene 7 (Pax7; P < 0.05). HSP27 expression peaked at 3 h of EHS and remained elevated until 24 h of exposure (P < 0.05). In contrast, the expression of myogenic factor 5 (Myf5) and paired box gene 3 (Pax3) was decreased by EHS compared to the control at 3 h of exposure (P < 0.05). Notably, the introduction of HSP27 small interference RNA (siRNA) transfection restored Myf5 expression to control levels, suggesting an association between HSP27 and Myf5 in regulating the self-renewal properties of satellite cells upon heat exposure. Immunoprecipitation experiments further confirmed the direct binding of HSP27 to Myf5, supporting its role as a molecular chaperone for Myf5. Protein-protein docking algorithms predicted a high probability of HSP27-Myf5 interaction as well. These findings indicate that extreme heat exposure intrinsically promotes the accumulation of HSPs and modulates the early myogenic regulatory factors in satellite cells. Moreover, HSP27 acts as a molecular chaperone by binding to Myf5, thereby regulating the division or differentiation of satellite cells in response to HS. The results of this study provide a better understanding of muscle physiology in heat-stressed cells, while unraveling the intricate molecular mechanisms that underlie the HS response in satellite cells.",Journal Article,2023,Journal of animal science,Kim WS;Daddam JR;Keng BH;Kim J;Kim J,"((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (interact*[Title/Abstract] OR bind*[Title/Abstract] OR cofactor*[Title/Abstract] OR partner*[Title/Abstract] OR complex*[Title/Abstract] OR remodel*[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR retention[Title/Abstract] OR accumulation[Title/Abstract])); ((""PAX8""[Title/Abstract] OR ""PAX2""[Title/Abstract] OR ""PAX3""[Title/Abstract] OR ""PAX5""[Title/Abstract] OR ""PAX7""[Title/Abstract]) AND (fold*[Title/Abstract] OR chaperon*[Title/Abstract] OR conformational[Title/Abstract]) AND (stability[Title/Abstract] OR degradation[Title/Abstract] OR localization[Title/Abstract] OR protein[Title/Abstract]))",20260830,Phase1_PubmedCollection/passes/pass_001/artifacts/metadata_collection/records/pmid-37688555.json
